GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Agi_Affy_HuEX_U133A	ABR	ABR	29	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABT1	ABT1	29777	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABTB2	ABTB2	25841	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACAA1	ACAA1	30	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACAA2	ACAA2	10449	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACACA	ACACA	31	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACACB	ACACB	32	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACAD10	ACAD10	80724	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACAD8	ACAD8	27034	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACADL	ACADL	33	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACADM	ACADM	34	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACADS	ACADS	35	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACADSB	ACADSB	36	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACADVL	ACADVL	37	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACAN	ACAN	176	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACAT1	ACAT1	38	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACBD3	ACBD3	64746	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACBD4	ACBD4	79777	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACCN1	ACCN1		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACCN2	ACCN2		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACCN3	ACCN3		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACCN4	ACCN4		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACD	ACD	65057	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACE	ACE	1636	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACE2	ACE2	59272	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACF	ACF		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACHE	ACHE	43	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACIN1	ACIN1	22985	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACLY	ACLY	47	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACN9	ACN9	57001	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACO1	ACO1	48	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACOT11	ACOT11	26027	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACOT7	ACOT7	11332	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACOT8	ACOT8	10005	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACOT9	ACOT9	23597	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACOX1	ACOX1	51	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACOX2	ACOX2	8309	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACOX3	ACOX3	8310	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACP1	ACP1	52	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACP2	ACP2	53	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACP5	ACP5	54	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACP6	ACP6	51205	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACPP	ACPP	55	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACR	ACR	49	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACRV1	ACRV1	56	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACSBG1	ACSBG1	23205	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACSBG2	ACSBG2	81616	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACSL1	ACSL1	2180	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACSL3	ACSL3	2181	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACSL4	ACSL4	2182	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACSL5	ACSL5	51703	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACSL6	ACSL6	23305	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACSM1	ACSM1	116285	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACSM3	ACSM3	6296	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTA1	ACTA1	58	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTA2	ACTA2	59	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTB	ACTB	60	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTC1	ACTC1	70	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTG1	ACTG1	71	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTG2	ACTG2	72	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTL6A	ACTL6A	86	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTL6B	ACTL6B	51412	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTL7A	ACTL7A	10881	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTL7B	ACTL7B	10880	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTL8	ACTL8	81569	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTN1	ACTN1	87	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTN2	ACTN2	88	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTN3	ACTN3	89	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTN4	ACTN4	81	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTR10	ACTR10	55860	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTR1A	ACTR1A	10121	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTR1B	ACTR1B	10120	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTR2	ACTR2	10097	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTR3	ACTR3	10096	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTR3B	ACTR3B	57180	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTR5	ACTR5	79913	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTR6	ACTR6	64431	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACTR8	ACTR8	93973	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACVR1	ACVR1	90	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACVR1B	ACVR1B	91	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACVR2A	ACVR2A	92	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACVR2B	ACVR2B	93	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACVRL1	ACVRL1	94	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACY1	ACY1	95	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACYP1	ACYP1	97	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ACYP2	ACYP2	98	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADA	ADA	100	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM10	ADAM10	102	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM11	ADAM11	4185	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM12	ADAM12	8038	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM15	ADAM15	8751	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM17	ADAM17	6868	HOMO_SAPIENS
