GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Agi_UNC_244	A_23_P415035	ARL10B		HOMO_SAPIENS
Agi_UNC_244	A_23_P408207	MGC34741		HOMO_SAPIENS
Agi_UNC_244	A_23_P206470	TRAF7	84231	HOMO_SAPIENS
Agi_UNC_244	A_24_P32200	MUC8		HOMO_SAPIENS
Agi_UNC_244	A_24_P802141			HOMO_SAPIENS
Agi_UNC_244	A_23_P82305	MGC22793		HOMO_SAPIENS
Agi_UNC_244	A_24_P515325			HOMO_SAPIENS
Agi_UNC_244	A_32_P20205			HOMO_SAPIENS
Agi_UNC_244	A_23_P163233			HOMO_SAPIENS
Agi_UNC_244	A_23_P67376	DHDH	27294	HOMO_SAPIENS
Agi_UNC_244	A_23_P324533			HOMO_SAPIENS
Agi_UNC_244	A_24_P221332			HOMO_SAPIENS
Agi_UNC_244	A_24_P289581			HOMO_SAPIENS
Agi_UNC_244	A_23_P42038	DJ122O8.2		HOMO_SAPIENS
Agi_UNC_244	A_32_P83319			HOMO_SAPIENS
Agi_UNC_244	A_24_P307045			HOMO_SAPIENS
Agi_UNC_244	A_23_P43456	C9orf111		HOMO_SAPIENS
Agi_UNC_244	A_23_P162321	WNT10B	7480	HOMO_SAPIENS
Agi_UNC_244	A_23_P115606			HOMO_SAPIENS
Agi_UNC_244	A_23_P384746	PLEKHH2	130271	HOMO_SAPIENS
Agi_UNC_244	A_23_P54356	LDHAL6B	92483	HOMO_SAPIENS
Agi_UNC_244	A_23_P90269	CHST8	64377	HOMO_SAPIENS
Agi_UNC_244	A_23_P421031	SEC14L4	284904	HOMO_SAPIENS
Agi_UNC_244	A_23_P97069	FBXO6	26270	HOMO_SAPIENS
Agi_UNC_244	A_23_P104626			HOMO_SAPIENS
Agi_UNC_244	A_24_P98083	GNA12	2768	HOMO_SAPIENS
Agi_UNC_244	A_23_P104587			HOMO_SAPIENS
Agi_UNC_244	A_24_P764596			HOMO_SAPIENS
Agi_UNC_244	A_24_P358165			HOMO_SAPIENS
Agi_UNC_244	A_23_P49727	HSPB9	94086	HOMO_SAPIENS
Agi_UNC_244	A_24_P193508	FLJ31153		HOMO_SAPIENS
Agi_UNC_244	A_23_P138704	ADRA2A	150	HOMO_SAPIENS
Agi_UNC_244	A_23_P167366	PITX2	5308	HOMO_SAPIENS
Agi_UNC_244	A_24_P22062	C13orf11		HOMO_SAPIENS
Agi_UNC_244	A_23_P12112	FLVCR		HOMO_SAPIENS
Agi_UNC_244	A_24_P608459			HOMO_SAPIENS
Agi_UNC_244	A_32_P110013			HOMO_SAPIENS
Agi_UNC_244	A_23_P106392	THAP10	56906	HOMO_SAPIENS
Agi_UNC_244	A_23_P96629	CXorf48	54967	HOMO_SAPIENS
Agi_UNC_244	A_24_P501286			HOMO_SAPIENS
Agi_UNC_244	A_24_P294008			HOMO_SAPIENS
Agi_UNC_244	A_24_P716398			HOMO_SAPIENS
Agi_UNC_244	A_24_P747743			HOMO_SAPIENS
Agi_UNC_244	A_23_P339700	C19orf14		HOMO_SAPIENS
Agi_UNC_244	A_23_P423473			HOMO_SAPIENS
Agi_UNC_244	A_23_P145070	MTO1	25821	HOMO_SAPIENS
Agi_UNC_244	A_32_P10401	SERPINE1	5054	HOMO_SAPIENS
Agi_UNC_244	A_23_P552	TARSL1		HOMO_SAPIENS
Agi_UNC_244	A_32_P117847			HOMO_SAPIENS
Agi_UNC_244	A_23_P13678	KIAA1340		HOMO_SAPIENS
Agi_UNC_244	A_24_P196014			HOMO_SAPIENS
Agi_UNC_244	A_24_P159919			HOMO_SAPIENS
Agi_UNC_244	A_32_P96725	RPL7L1	285855	HOMO_SAPIENS
Agi_UNC_244	A_23_P163566	SMPD3	55512	HOMO_SAPIENS
Agi_UNC_244	A_32_P49553			HOMO_SAPIENS
Agi_UNC_244	A_32_P192481			HOMO_SAPIENS
Agi_UNC_244	A_24_P84368			HOMO_SAPIENS
