GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Affy_microarray	PHF20	PHF20	51230	HOMO_SAPIENS
Affy_microarray	CPNE4	CPNE4	131034	HOMO_SAPIENS
Affy_microarray	GTPBP1	GTPBP1	9567	HOMO_SAPIENS
Affy_microarray	RAB33B	RAB33B	83452	HOMO_SAPIENS
Affy_microarray	ALDOC	ALDOC	230	HOMO_SAPIENS
Affy_microarray	ZNF212	ZNF212	7988	HOMO_SAPIENS
Affy_microarray	NUDT1	NUDT1	4521	HOMO_SAPIENS
Affy_microarray	RFPL2	RFPL2	10739	HOMO_SAPIENS
Affy_microarray	ZNF83	ZNF83	55769	HOMO_SAPIENS
Affy_microarray	GDPD5	GDPD5	81544	HOMO_SAPIENS
Affy_microarray	PDCD4	PDCD4	100616113	HOMO_SAPIENS
Affy_microarray	CEP350	CEP350	9857	HOMO_SAPIENS
Affy_microarray	OR10A2	OR10A2	341276	HOMO_SAPIENS
Affy_microarray	CST7	CST7	8530	HOMO_SAPIENS
Affy_microarray	CIAO1	CIAO1	9391	HOMO_SAPIENS
Affy_microarray	SELL	SELL	6402	HOMO_SAPIENS
Affy_microarray	OR8J3	OR8J3	81168	HOMO_SAPIENS
Affy_microarray	LTBP4	LTBP4	8425	HOMO_SAPIENS
Affy_microarray	SIRT6	SIRT6	51548	HOMO_SAPIENS
Affy_microarray	CCL19	CCL19	6363	HOMO_SAPIENS
Affy_microarray	PPIL1	PPIL1	51645	HOMO_SAPIENS
Affy_microarray	GBP7	GBP7	388646	HOMO_SAPIENS
Affy_microarray	STK17A	STK17A	9263	HOMO_SAPIENS
Affy_microarray	ABR	ABR	29	HOMO_SAPIENS
Affy_microarray	OR9G1	OR9G1	390174	HOMO_SAPIENS
Affy_microarray	FOXE1	FOXE1	2304	HOMO_SAPIENS
Affy_microarray	CNGA3	CNGA3	1261	HOMO_SAPIENS
Affy_microarray	GML	GML	2765	HOMO_SAPIENS
Affy_microarray	CD38	CD38	952	HOMO_SAPIENS
Affy_microarray	ZDHHC6	ZDHHC6	64429	HOMO_SAPIENS
Affy_microarray	NEFH	NEFH	4744	HOMO_SAPIENS
Affy_microarray	CTDSP2	CTDSP2	10106	HOMO_SAPIENS
Affy_microarray	PGBD5	PGBD5	79605	HOMO_SAPIENS
Affy_microarray	CCNY	CCNY	219771	HOMO_SAPIENS
Affy_microarray	RMND5B	RMND5B	64777	HOMO_SAPIENS
Affy_microarray	ZNF257	ZNF257	113835	HOMO_SAPIENS
Affy_microarray	FLJ22167	FLJ22167		HOMO_SAPIENS
Affy_microarray	EXOSC7	EXOSC7	23016	HOMO_SAPIENS
Affy_microarray	ROR2	ROR2	4920	HOMO_SAPIENS
Affy_microarray	MAOA	MAOA	4128	HOMO_SAPIENS
Affy_microarray	TNNT3	TNNT3	7140	HOMO_SAPIENS
Affy_microarray	GYPC	GYPC	2995	HOMO_SAPIENS
Affy_microarray	C7orf33	C7orf33	202865	HOMO_SAPIENS
Affy_microarray	PLIN	PLIN		HOMO_SAPIENS
Affy_microarray	LOC90826	LOC90826		HOMO_SAPIENS
Affy_microarray	RNF4	RNF4	6047	HOMO_SAPIENS
Affy_microarray	F8A1	F8A1	8263	HOMO_SAPIENS
Affy_microarray	PLEKHG4	PLEKHG4	25894	HOMO_SAPIENS
Affy_microarray	GRB2	GRB2	2885	HOMO_SAPIENS
Affy_microarray	HIST1H2AD	HIST1H2AD	3013	HOMO_SAPIENS
Affy_microarray	DUS3L	DUS3L	56931	HOMO_SAPIENS
Affy_microarray	EIF1	EIF1	10209	HOMO_SAPIENS
Affy_microarray	RP5-1077B9.4	RP5-1077B9.4		HOMO_SAPIENS
Affy_microarray	FPGT	FPGT	8790	HOMO_SAPIENS
Affy_microarray	GDF10	GDF10	2662	HOMO_SAPIENS
Affy_microarray	COQ9	COQ9	57017	HOMO_SAPIENS
Affy_microarray	GCC2	GCC2	9648	HOMO_SAPIENS
Affy_microarray	RARRES3	RARRES3	5920	HOMO_SAPIENS
Affy_microarray	PLXNA1	PLXNA1	5361	HOMO_SAPIENS
Affy_microarray	KIAA0100	KIAA0100	9703	HOMO_SAPIENS
Affy_microarray	PMF1	PMF1	11243	HOMO_SAPIENS
Affy_microarray	FNDC1	FNDC1	84624	HOMO_SAPIENS
Affy_microarray	HS2ST1	HS2ST1	9653	HOMO_SAPIENS
Affy_microarray	CRELD2	CRELD2	79174	HOMO_SAPIENS
Affy_microarray	C8G	C8G	733	HOMO_SAPIENS
Affy_microarray	CD82	CD82	3732	HOMO_SAPIENS
Affy_microarray	LIM2	LIM2	3982	HOMO_SAPIENS
Affy_microarray	UNQ6490	UNQ6490		HOMO_SAPIENS
Affy_microarray	MMP16	MMP16	4325	HOMO_SAPIENS
Affy_microarray	DRD3	DRD3	1814	HOMO_SAPIENS
Affy_microarray	C5orf26	C5orf26		HOMO_SAPIENS
